               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.052502,            0.013852,                   0,             0.96526,             0.88618,             0.94685,             0.49187,            0.031391,           0.0045186,                   0,            0.070023,           0.0033308,           0.0033308
                   1,            0.035601,           0.0085056,                   0,             0.96877,             0.91666,             0.96207,             0.59786,            0.027573,           0.0040537,                   0,            0.039891,           0.0065322,           0.0065322
                   2,            0.032656,           0.0078311,                   0,             0.96007,             0.90209,             0.95984,              0.5948,             0.02832,           0.0040541,                   0,           0.0096268,           0.0096016,           0.0096016
                   3,            0.030317,           0.0076755,                   0,             0.96014,             0.93786,             0.96933,              0.5958,            0.027684,           0.0038739,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.028787,           0.0073719,                   0,             0.96348,             0.93715,             0.97463,             0.65804,            0.025107,           0.0037533,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.027615,           0.0071821,                   0,             0.96753,             0.95053,             0.97762,             0.64923,            0.024997,           0.0036921,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.027059,           0.0069925,                   0,             0.96228,             0.93949,             0.97549,             0.64406,            0.025203,           0.0036898,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.026684,            0.006874,                   0,             0.95679,             0.95638,             0.98148,             0.66131,            0.024457,           0.0035739,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.025982,           0.0068252,                   0,             0.96914,             0.94841,             0.98046,             0.66887,            0.024413,            0.003593,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.025736,           0.0068242,                   0,             0.97202,             0.95403,              0.9797,             0.66669,            0.024221,           0.0035414,                   0,            0.008416,            0.008416,            0.008416
                  10,             0.02548,             0.00675,                   0,              0.9755,             0.95258,             0.98405,              0.6757,            0.023764,           0.0035232,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.025194,           0.0066396,                   0,             0.97693,             0.95685,             0.98363,             0.67308,            0.024132,           0.0035073,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.024964,           0.0065704,                   0,             0.97933,             0.95556,             0.98403,             0.67358,            0.023969,           0.0035381,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.024456,           0.0065591,                   0,               0.973,             0.96107,             0.98399,             0.68152,            0.023836,           0.0034855,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.024426,            0.006605,                   0,              0.9734,             0.96125,             0.98513,             0.67729,            0.023644,           0.0034737,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.024108,           0.0064778,                   0,             0.96626,               0.967,             0.98098,              0.6841,            0.023303,           0.0034494,                   0,            0.007228,            0.007228,            0.007228
                  16,             0.02409,           0.0064428,                   0,             0.97084,             0.96341,             0.98558,             0.68863,            0.023439,           0.0034659,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.023782,           0.0063859,                   0,             0.97246,             0.96053,             0.98357,             0.68136,            0.023388,            0.003461,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.023792,           0.0063504,                   0,                0.97,             0.97076,             0.98414,             0.68734,            0.023144,            0.003397,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.023306,            0.006289,                   0,             0.96275,             0.96994,             0.98479,             0.68574,            0.023034,           0.0034674,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.023188,           0.0063369,                   0,             0.97702,             0.95966,             0.98442,             0.68698,            0.023694,           0.0034469,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.023016,           0.0062974,                   0,             0.97621,             0.96249,             0.98619,             0.68924,            0.023431,           0.0034331,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.022995,            0.006239,                   0,             0.97578,             0.96248,             0.98657,              0.6916,            0.023465,           0.0034016,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.022851,           0.0062341,                   0,             0.96683,             0.97092,              0.9857,             0.69191,             0.02329,           0.0033873,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.022575,           0.0061799,                   0,             0.97214,             0.96563,             0.98675,             0.68986,            0.023252,           0.0033924,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.022525,           0.0061463,                   0,             0.97405,             0.96833,             0.98654,             0.69348,            0.023138,           0.0033731,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.022199,           0.0061322,                   0,             0.97942,             0.95969,             0.98464,             0.68799,             0.02325,           0.0034073,                   0,             0.00505,             0.00505,             0.00505
                  27,             0.02211,             0.00611,                   0,             0.96939,             0.96998,             0.98896,             0.69588,            0.023075,           0.0033653,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.021899,           0.0060887,                   0,             0.97276,             0.97151,             0.98982,             0.69488,            0.023112,           0.0033643,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.021781,           0.0060933,                   0,             0.97357,             0.96765,             0.98709,             0.69664,            0.023054,           0.0033888,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.021522,           0.0059876,                   0,             0.97429,             0.96904,             0.98808,             0.69838,            0.022998,           0.0033648,                   0,            0.004258,            0.004258,            0.004258
